image name,plantid,width (pixel),width (cm),height (pixel),height (cm),number of lr,total root length (pixel),total root length (cm),pr length (pixel),pr length (cm),lr length (pixel),lr length (cm),tip depth (pixel),tip depth (cm),pr tip depth (pixel),pr tip depth (cm),lr tip depth (pixel),lr tip depth (cm),sdx,sdy,sdx/sdy,convex hull area (pixel),convex hull area (cm2),average angle
../Traces\A-06-19-24\A-06-19-24-003.traces,4,30,0.0955414012738853,216,0.6878980891719745,0,234.5685424949238,0.7470335748245981,234.5685424949238,0.7470335748245981,0.0,0.0,216.0,0.6878980891719745,216.0,0.6878980891719745,,,7.079266270281382,63.195823763241314,0.112021109129036,2770.5,0.0280995172217939,7.419417131518287
../Traces\A-06-19-24\A-06-19-24-003.traces,5,15,0.0477707006369426,210,0.6687898089171974,0,226.3259018078045,0.7207831267764475,226.3259018078045,0.7207831267764475,0.0,0.0,210.0,0.6687898089171974,210.0,0.6687898089171974,,,4.097392566681476,61.17439336458013,0.0669788835054285,2017.5,0.0204622905594547,5.478065727641463
../Traces\A-06-19-24\A-06-19-24-003.traces,6,49,0.1560509554140127,181,0.5764331210191083,0,212.2964645562817,0.6761033903066296,212.2964645562817,0.6761033903066296,0.0,0.0,181.0,0.5764331210191083,181.0,0.5764331210191083,,,9.188969806154484,54.946050677551,0.1672362197618102,2653.0,0.0269077853056919,10.345172883592287
../Traces\A-06-19-24\A-06-19-24-003.traces,7,12,0.0382165605095541,54,0.1719745222929936,0,58.970562748477136,0.1878043399633029,58.970562748477136,0.1878043399633029,0.0,0.0,54.0,0.1719745222929936,54.0,0.1719745222929936,,,3.0799806804159564,15.874507866387544,0.194020545792003,172.0,0.0017444926771877,11.485584535104564
../Traces\A-06-19-24\A-06-19-24-003.traces,8,30,0.0955414012738853,7,0.0222929936305732,0,33.89949493661166,0.1079601749573619,33.89949493661166,0.1079601749573619,0.0,0.0,7.0,0.0222929936305732,7.0,0.0222929936305732,,,8.805127678659748,2.4036105653786763,3.663292134544493,65.0,0.0006592559535883,77.38358433839582
../Traces\F-10-15\F-10-15-24-001.traces,1,54,0.1719745222929936,93,0.2961783439490446,1,174.05382386916236,0.5543115409845935,101.698484809835,0.3238805248720859,72.35533905932736,0.2304310161125075,62.5,0.1990445859872611,93.0,0.2961783439490446,32.0,0.1019108280254777,13.757507659407688,25.317436985641493,0.5434004898367124,2396.5,0.0243062598888393,17.73386314216693
../Traces\F-10-15\F-10-15-24-001.traces,2,88,0.2802547770700637,142,0.4522292993630573,1,371.20310216782974,1.1821754846109227,303.4629867976521,0.9664426331135418,67.7401153701776,0.2157328514973809,86.0,0.2738853503184713,142.0,0.4522292993630573,30.0,0.0955414012738853,24.2499797957236,45.08703508450317,0.5378481807524873,8418.5,0.0853837883889813,44.26461521911273
../Traces\F-10-15\F-10-15-24-002.traces,1,63,0.2006369426751592,112,0.3566878980891719,1,169.8822509939086,0.5410262770506643,135.81118318204312,0.4325196916625577,34.07106781186548,0.1085065853881066,66.5,0.2117834394904458,112.0,0.3566878980891719,21.0,0.0668789808917197,16.131766762880215,33.09439408219449,0.4874471103116361,2094.0,0.0212381841048318,31.436995351777966
../Traces\F-10-15\F-10-15-24-002.traces,2,55,0.1751592356687898,245,0.7802547770700637,1,295.6101730552664,0.94143367215053,250.63961030678928,0.7982153194483735,44.970562748477136,0.1432183527021565,130.0,0.4140127388535032,245.0,0.7802547770700637,15.0,0.0477707006369426,11.481480361151142,76.38690909216231,0.150306911192054,6698.5,0.0679388616171041,11.829988774190804
../Traces\F-10-15\F-10-15-24-002.traces,3,117,0.3726114649681528,155,0.4936305732484076,0,209.9066376115481,0.6684924764698984,209.9066376115481,0.6684924764698984,0.0,0.0,155.0,0.4936305732484076,155.0,0.4936305732484076,,,37.400166032163405,43.98529722177358,0.8502879006044227,2222.5,0.0225414824130796,36.38086509305287
../Traces\F-10-15\F-10-15-24-002.traces,4,7,0.0222929936305732,36,0.1146496815286624,0,39.727922061357845,0.1265220447813944,39.727922061357845,0.1265220447813944,0.0,0.0,36.0,0.1146496815286624,36.0,0.1146496815286624,,,1.7673278620834394,10.677078252031311,0.1655254200040358,130.0,0.0013185119071767,0.0
../Traces\F-10-15\F-10-15-24-002.traces,5,42,0.1337579617834395,137,0.4363057324840764,0,161.4680374315355,0.5142294185717691,161.4680374315355,0.5142294185717691,0.0,0.0,137.0,0.4363057324840764,137.0,0.4363057324840764,,,9.841310196100004,41.07316806292661,0.2396043611981065,1747.0,0.0177187715525984,17.438329291327253
../Traces\F-10-15\F-10-15-24-002.traces,6,51,0.1624203821656051,192,0.6114649681528662,0,216.1959594928933,0.6885221639901061,216.1959594928933,0.6885221639901061,0.0,0.0,192.0,0.6114649681528662,192.0,0.6114649681528662,,,14.424747278267125,55.9505633422433,0.257812368930632,1858.0,0.0188445778733417,9.22172860644535
../Traces\F-10-15\F-10-15-24-003.traces,1,65,0.2070063694267516,101,0.321656050955414,0,145.12489168102786,0.4621811836975409,145.12489168102786,0.4621811836975409,0.0,0.0,101.0,0.321656050955414,101.0,0.321656050955414,,,19.98439391124985,32.18595569499219,0.620904163935055,1760.5,0.0178556939429591,31.157836270148163
../Traces\F-10-15\F-10-15-24-003.traces,2,42,0.1337579617834395,74,0.2356687898089172,0,93.39696961967,0.2974425784065924,93.39696961967,0.2974425784065924,0.0,0.0,74.0,0.2356687898089172,74.0,0.2356687898089172,,,11.616053704248118,22.16141584302125,0.5241566597788507,305.5,0.0030985029818653,29.346417195311748
../Traces\F-10-15\F-10-15-24-003.traces,3,60,0.1910828025477707,164,0.5222929936305732,0,244.65180361560903,0.77914587138729,244.65180361560903,0.77914587138729,0.0,0.0,164.0,0.5222929936305732,164.0,0.5222929936305732,,,12.388658258031368,49.01845746783236,0.2527345595515983,3063.0,0.0310661690129417,15.229346521847486
../Traces\F-10-15\F-10-15-24-003.traces,4,115,0.3662420382165605,114,0.3630573248407643,0,179.76450198781714,0.57249841397394,179.76450198781714,0.57249841397394,0.0,0.0,114.0,0.3630573248407643,114.0,0.3630573248407643,,,34.996036910867886,33.40583634511195,1.0476024772835426,1482.5,0.015036106941458,48.02558230160477
../Traces\F-10-15\F-10-15-24-003.traces,5,16,0.0509554140127388,89,0.2834394904458598,0,104.18376618407356,0.3317954337072406,104.18376618407356,0.3317954337072406,0.0,0.0,89.0,0.2834394904458598,89.0,0.2834394904458598,,,5.842469510178495,26.470806540669205,0.220713694582832,771.5,0.0078248610491297,12.40322354679758
